candidate_id,stratum,current_title,current_company,current_company_class,yoe,applied_ml_years,evid_strong_ir,evid_weak_hype,semantic_fit,avail_modifier,location_tier,honeypot_flag,human_tier,notes
CAND_0098000,E_swe_llm_hype,Software Engineer,HCL,services,6.8,0.0,0,2,0.0297,0.6528,C,False,,
CAND_0014244,E_swe_llm_hype,.NET Developer,Tech Mahindra,services,1.8,0.0,0,2,0.05728,0.7233,B,False,,
CAND_0087242,E_swe_llm_hype,QA Engineer,Accenture,services,1.5,0.0,0,2,0.54643,0.8756,C,False,,
CAND_0042401,E_swe_llm_hype,.NET Developer,Globex Inc,neutral,7.4,0.0,0,2,0.2757,0.8205,C,False,,
CAND_0052878,E_swe_llm_hype,Frontend Engineer,Zomato,product,9.4,0.0,0,2,0.31207,0.7799,D,False,,
CAND_0005476,E_swe_llm_hype,DevOps Engineer,Cognizant,services,5.0,0.0,0,2,0.41244,0.767,C,False,,
CAND_0063419,E_swe_llm_hype,.NET Developer,Mphasis,services,5.8,0.0,0,2,0.43212,0.8935,D,False,,
CAND_0050166,E_swe_llm_hype,Java Developer,Globex Inc,neutral,6.7,0.0,0,2,0.03544,0.72,A,False,,
CAND_0025729,E_swe_llm_hype,Mobile Developer,Capgemini,services,4.5,0.0,0,2,0.46356,0.7801,C,False,,
CAND_0033570,E_swe_llm_hype,Mobile Developer,Mindtree,services,5.2,0.0,0,2,0.15546,0.8111,D,False,,
CAND_0031353,E_swe_llm_hype,Software Engineer,Hooli,neutral,6.2,0.0,0,2,0.07014,0.8023,C,False,,
CAND_0042048,F_nonneng_keyword_stuffer,Sales Executive,Infosys,services,3.3,0.0,0,1,0.89172,0.784,C,False,,
CAND_0067756,F_nonneng_keyword_stuffer,Customer Support,Globex Inc,neutral,7.5,0.0,0,1,0.99392,0.6208,C,False,,
CAND_0011197,F_nonneng_keyword_stuffer,Sales Executive,Hooli,neutral,10.3,0.0,0,1,0.91912,0.8115,C,False,,
CAND_0064372,F_nonneng_keyword_stuffer,Customer Support,Stark Industries,neutral,11.8,0.0,0,6,0.81292,0.6967,D,False,,
CAND_0087275,F_nonneng_keyword_stuffer,Project Manager,Acme Corp,neutral,7.5,0.0,0,1,0.88915,0.8833,C,False,,
CAND_0018510,F_nonneng_keyword_stuffer,Accountant,Hooli,neutral,8.5,0.0,0,1,0.87727,0.7188,D,False,,
CAND_0061129,F_nonneng_keyword_stuffer,Sales Executive,Dunder Mifflin,neutral,4.8,0.0,0,1,0.9076,0.6448,C,False,,
CAND_0032458,F_nonneng_keyword_stuffer,Content Writer,Dunder Mifflin,neutral,11.5,0.0,0,1,0.90136,0.7102,C,False,,
CAND_0093841,F_nonneng_keyword_stuffer,Mechanical Engineer,Globex Inc,neutral,7.4,0.0,0,1,0.89747,0.6929,D,False,,
CAND_0099494,F_nonneng_keyword_stuffer,Operations Manager,Acme Corp,neutral,1.6,0.0,0,5,0.01665,0.7707,D,False,,
CAND_0034621,F_nonneng_keyword_stuffer,Accountant,Wayne Enterprises,neutral,11.3,0.0,0,1,0.9455,0.8224,C,False,,
CAND_0033314,F_nonneng_keyword_stuffer,Customer Support,Globex Inc,neutral,13.7,0.0,0,1,0.95784,0.7084,B,False,,
CAND_0033832,F_nonneng_keyword_stuffer,HR Manager,Stark Industries,neutral,8.8,0.0,0,1,0.78024,0.772,A,False,,
CAND_0064517,F_nonneng_keyword_stuffer,Content Writer,TCS,services,1.3,0.0,0,4,0.01371,0.6282,C,False,,
CAND_0055352,F_nonneng_keyword_stuffer,Graphic Designer,Infosys,services,1.7,0.0,0,5,0.52364,0.6647,C,False,,
CAND_0045840,F_nonneng_keyword_stuffer,Accountant,Pied Piper,neutral,6.2,0.0,0,1,0.46873,0.711,D,False,,
CAND_0087853,F_nonneng_keyword_stuffer,Project Manager,Dunder Mifflin,neutral,4.2,0.0,0,1,0.89341,0.9285,C,False,,
CAND_0089424,F_nonneng_keyword_stuffer,Marketing Manager,Wayne Enterprises,neutral,7.5,0.0,0,1,0.93134,0.714,B,False,,
CAND_0080776,G_services_only_ml,Backend Engineer,Wipro,services,2.8,2.75,0,0,0.80812,0.8399,C,False,,
CAND_0004877,G_services_only_ml,Data Engineer,Tech Mahindra,services,4.2,4.17,0,0,0.86564,0.8145,C,False,,
CAND_0023640,G_services_only_ml,Data Engineer,HCL,services,4.6,4.5,0,0,0.97424,0.9664,B,False,,
CAND_0024357,G_services_only_ml,Backend Engineer,Tech Mahindra,services,4.4,4.33,0,0,0.87193,0.9764,A,False,,
CAND_0008705,G_services_only_ml,Data Analyst,Wipro,services,2.4,2.33,0,0,0.78277,0.9215,C,False,,
CAND_0008904,G_services_only_ml,Data Analyst,HCL,services,4.4,4.33,0,0,0.72245,0.8007,C,False,,
CAND_0081932,G_services_only_ml,Data Scientist,Tech Mahindra,services,4.4,4.33,1,1,0.89772,0.8955,C,False,,
CAND_0043975,G_services_only_ml,Data Analyst,Mphasis,services,3.1,3.08,0,0,0.85889,0.9055,C,False,,
CAND_0089004,G_services_only_ml,Data Analyst,Wipro,services,4.4,4.33,0,0,0.912325,0.8349,C,False,,
CAND_0095622,G_services_only_ml,Data Analyst,Capgemini,services,2.6,2.58,0,0,0.81613,0.858,C,False,,
CAND_0021490,H_cv_domain,Computer Vision Engineer,BYJU'S,product,4.3,2.58,0,1,0.66472,0.9534,A,False,,
CAND_0099581,H_cv_domain,AI Specialist,upGrad,product,6.4,6.25,4,2,0.99047,0.8957,B,False,,
CAND_0091254,H_cv_domain,AI Research Engineer,Zoho,product,5.2,5.08,2,2,0.96218,0.8998,C,False,,
CAND_0088441,H_cv_domain,AI Specialist,Sarvam AI,ai_product,6.5,6.42,0,1,0.84486,0.957,C,False,,
CAND_0025882,H_cv_domain,Senior Software Engineer (ML),Freshworks,product,5.6,4.08,6,2,0.99676,1.0268,C,False,,
CAND_0095457,H_cv_domain,Data Scientist,Locobuzz,ai_product,4.1,4.0,0,1,0.83735,0.9892,B,False,,
CAND_0039962,H_cv_domain,ML Engineer,Paytm,product,6.5,6.42,0,1,0.82898,1.0072,C,False,,
CAND_0032216,H_cv_domain,ML Engineer,upGrad,product,6.1,6.0,1,2,0.95626,0.9111,C,False,,
CAND_0006821,H_cv_domain,Senior Software Engineer (ML),Unacademy,product,5.0,4.92,2,2,0.92353,0.8028,C,False,,
CAND_0055685,I_honeypot,Customer Support,Acme Corp,neutral,1.4,0.0,0,0,0.34863,0.7063,B,True,,
CAND_0038431,I_honeypot,Mobile Developer,Razorpay,product,15.0,0.0,0,2,0.24341,0.9285,B,True,,
CAND_0096150,I_honeypot,Accountant,Wipro,services,14.7,0.0,0,0,0.16525,0.6866,C,True,,
CAND_0036839,I_honeypot,Operations Manager,TCS,services,8.1,0.0,0,1,0.92352,0.8217,C,True,,
CAND_0024752,I_honeypot,Civil Engineer,Hooli,neutral,14.9,0.0,0,0,0.10061,0.7002,C,True,,
CAND_0070429,I_honeypot,Software Engineer,Swiggy,product,8.1,0.0,0,2,0.42396,0.7895,C,True,,
CAND_0057711,I_honeypot,Java Developer,Capgemini,services,7.7,0.0,0,2,0.12155,0.8735,C,True,,
CAND_0035104,I_honeypot,Software Engineer,Cognizant,services,5.5,0.0,0,2,0.10415,0.8203,C,True,,
CAND_0040075,I_honeypot,Marketing Manager,Pied Piper,neutral,15.0,0.0,0,0,0.20238,0.6133,D,True,,
CAND_0053734,I_honeypot,Sales Executive,Globex Inc,neutral,8.6,0.0,0,0,0.48637,0.7901,C,True,,
CAND_0063888,I_honeypot,.NET Developer,Hooli,neutral,2.4,0.0,0,2,0.06686,0.773,B,True,,
CAND_0072379,I_honeypot,Content Writer,Infosys,services,3.8,0.0,0,0,0.80828,0.8002,A,True,,
CAND_0033131,I_honeypot,Operations Manager,Pied Piper,neutral,12.7,0.0,0,0,0.56365,0.9784,C,True,,
CAND_0033817,I_honeypot,HR Manager,Pied Piper,neutral,13.3,0.0,0,1,0.91829,0.8261,D,True,,
CAND_0046689,I_honeypot,Business Analyst,Pied Piper,neutral,2.3,0.0,0,1,0.9725,0.9734,D,True,,
CAND_0037000,I_honeypot,Search Engineer,Unacademy,product,2.7,6.25,4,3,0.99977,0.8915,A,True,,
CAND_0055792,I_honeypot,.NET Developer,Hooli,neutral,9.8,0.0,0,2,0.41221,0.7919,C,True,,
CAND_0003582,I_honeypot,Mobile Developer,Mphasis,services,8.2,0.0,0,2,0.43058,0.7406,C,True,,
CAND_0036299,I_honeypot,Mobile Developer,Cognizant,services,12.2,0.0,0,2,0.34667,0.7798,C,True,,
CAND_0060642,I_honeypot,Frontend Engineer,Cognizant,services,3.0,0.0,0,2,0.3147,1.0044,D,True,,
CAND_0070189,I_honeypot,Operations Manager,Wayne Enterprises,neutral,6.9,0.0,0,0,0.76914,0.6543,B,True,,
CAND_0040853,I_honeypot,Operations Manager,Initech,neutral,1.1,0.0,0,0,0.5795,0.6862,C,True,,
CAND_0093547,I_honeypot,Senior Machine Learning Engineer,PhonePe,product,2.9,5.42,5,1,0.99854,0.8995,C,True,,
CAND_0077250,I_honeypot,Project Manager,Wayne Enterprises,neutral,13.1,0.0,0,0,0.0225,0.6925,C,True,,
CAND_0052478,I_honeypot,Marketing Manager,Dunder Mifflin,neutral,12.4,0.0,0,0,0.43502,0.5524,C,True,,
CAND_0086808,I_honeypot,Graphic Designer,TCS,services,11.4,0.0,0,0,0.28661,0.829,D,True,,
CAND_0065710,I_honeypot,Marketing Manager,Hooli,neutral,4.4,0.0,0,0,0.05801,0.6808,B,True,,
CAND_0061722,I_honeypot,Software Engineer,Wipro,services,6.8,2.75,0,0,0.80134,0.879,D,True,,
CAND_0084182,I_honeypot,Civil Engineer,Hooli,neutral,12.7,0.0,0,0,0.51857,0.7836,B,True,,
CAND_0019480,I_honeypot,NLP Engineer,Meesho,product,2.8,7.25,4,3,0.99931,1.0514,C,True,,
CAND_0056983,I_honeypot,Accountant,Pied Piper,neutral,12.3,0.0,0,1,0.90562,0.7217,C,True,,
CAND_0005291,I_honeypot,Business Analyst,Hooli,neutral,12.8,0.0,0,0,0.54729,0.7265,C,True,,
CAND_0065787,I_honeypot,Java Developer,HCL,services,10.9,0.0,0,2,0.23818,0.8484,C,True,,
CAND_0042453,I_honeypot,Marketing Manager,Pied Piper,neutral,4.2,0.0,0,0,0.45778,0.8304,B,True,,
CAND_0008960,I_honeypot,Graphic Designer,Stark Industries,neutral,10.3,0.0,0,0,0.21244,0.699,B,True,,
CAND_0095140,I_honeypot,Backend Engineer,Razorpay,product,5.0,4.83,0,0,0.9035,0.8958,D,True,,
CAND_0010294,I_honeypot,.NET Developer,Mphasis,services,8.0,0.0,0,2,0.44271,0.793,C,True,,
CAND_0025579,I_honeypot,HR Manager,Acme Corp,neutral,12.9,0.0,0,0,0.4819,0.795,D,True,,
CAND_0003430,I_honeypot,Business Analyst,Infosys,services,13.7,0.0,0,0,0.34282,0.6625,A,True,,
CAND_0016000,I_honeypot,Full Stack Developer,Initech,neutral,2.0,0.0,0,2,0.303875,0.9373,D,True,,
CAND_0095480,I_honeypot,.NET Developer,Zomato,product,2.3,0.0,0,2,0.18045,0.8737,B,True,,
CAND_0064077,I_honeypot,Project Manager,Hooli,neutral,10.1,0.0,0,1,0.78817,0.8273,B,True,,
CAND_0090900,I_honeypot,Senior Data Engineer,PolicyBazaar,product,11.7,0.75,0,0,0.7901,0.8295,D,True,,
CAND_0077239,I_honeypot,Content Writer,Dunder Mifflin,neutral,7.6,0.0,0,0,0.55462,0.698,C,True,,
CAND_0046649,I_honeypot,Business Analyst,Wipro,services,3.8,0.0,0,0,0.14125,0.9012,C,True,,
CAND_0066405,I_honeypot,Cloud Engineer,Initech,neutral,12.3,0.0,0,2,0.301205,0.7663,D,True,,
CAND_0073853,I_honeypot,Operations Manager,Globex Inc,neutral,8.0,0.0,0,0,0.78163,0.7702,D,True,,
CAND_0095317,I_honeypot,HR Manager,Globex Inc,neutral,7.0,0.0,0,0,0.23676,0.6869,D,True,,
CAND_0018515,I_honeypot,Marketing Manager,Initech,neutral,8.5,0.0,0,0,0.7609,0.8006,A,True,,
CAND_0091068,I_honeypot,HR Manager,TCS,services,12.7,0.0,0,0,0.30891,0.8071,B,True,,
CAND_0033972,I_honeypot,QA Engineer,Swiggy,product,6.0,0.0,0,2,0.02459,0.9035,C,True,,
CAND_0048740,I_honeypot,HR Manager,Dunder Mifflin,neutral,9.9,0.0,0,1,0.71463,0.6679,C,True,,
CAND_0065096,I_honeypot,Civil Engineer,TCS,services,6.7,0.0,0,0,0.05034,0.7206,A,True,,
CAND_0042245,I_honeypot,Business Analyst,Wipro,services,7.9,0.0,0,0,0.78398,0.8498,C,True,,
CAND_0037539,I_honeypot,Project Manager,Stark Industries,neutral,4.9,0.0,0,1,0.92127,0.8754,A,True,,
CAND_0007353,I_honeypot,Frontend Engineer,Wayne Enterprises,neutral,9.9,0.0,0,2,0.24807,0.8312,A,True,,
CAND_0093364,I_honeypot,Business Analyst,Globex Inc,neutral,7.9,0.0,0,0,0.60387,0.7516,B,True,,
CAND_0043721,I_honeypot,Sales Executive,Initech,neutral,4.5,0.0,0,0,0.05143,0.6883,D,True,,
CAND_0007413,I_honeypot,Business Analyst,Globex Inc,neutral,13.3,0.0,0,0,0.17867,0.796,C,True,,
CAND_0074119,I_honeypot,Content Writer,Globex Inc,neutral,11.4,0.0,0,0,0.65421,0.7087,D,True,,
CAND_0054455,J_random,Customer Support,Pied Piper,neutral,6.5,0.0,0,0,0.68564,0.6452,B,False,,
CAND_0041633,J_random,.NET Developer,Dunder Mifflin,neutral,7.4,0.0,0,2,0.04444,0.8891,C,False,,
CAND_0076586,J_random,Sales Executive,Infosys,services,9.2,0.0,0,0,0.65598,0.6166,B,False,,
CAND_0051382,J_random,Graphic Designer,Dunder Mifflin,neutral,12.2,0.0,0,1,0.67736,0.6046,C,False,,
CAND_0017277,J_random,HR Manager,Infosys,services,8.4,0.0,0,0,0.66887,0.8167,B,False,,
CAND_0066750,J_random,Operations Manager,Dunder Mifflin,neutral,14.7,0.0,0,0,0.47752,0.847,D,False,,
CAND_0025203,J_random,Full Stack Developer,Capgemini,services,6.6,0.0,0,2,0.41627,0.7648,B,False,,
CAND_0058560,J_random,Full Stack Developer,Pied Piper,neutral,4.5,0.0,0,2,0.41966,0.9709,C,False,,
CAND_0000106,J_random,Marketing Manager,Globex Inc,neutral,6.6,0.0,0,1,0.94441,0.5833,A,False,,
CAND_0012368,J_random,Graphic Designer,Acme Corp,neutral,12.8,0.0,0,0,0.40239,0.7101,C,False,,
CAND_0041320,J_random,Business Analyst,Wipro,services,2.2,0.0,0,0,0.58216,0.759,C,False,,
CAND_0097762,J_random,DevOps Engineer,Flipkart,product,1.4,0.0,0,2,0.2788,0.7694,C,False,,
CAND_0095993,J_random,HR Manager,Globex Inc,neutral,14.9,0.0,0,1,0.9565,0.85,B,False,,
CAND_0098101,J_random,Mechanical Engineer,Infosys,services,13.0,0.0,0,0,0.49942,0.8973,D,False,,
CAND_0088509,J_random,Civil Engineer,Initech,neutral,6.5,0.0,0,0,0.551195,0.8002,B,False,,
CAND_0019028,J_random,Operations Manager,Stark Industries,neutral,9.1,0.0,0,0,0.36184,0.7708,C,False,,
CAND_0023606,J_random,Customer Support,Initech,neutral,12.0,0.0,0,0,0.03716,0.8369,A,False,,
CAND_0044508,J_random,Civil Engineer,Globex Inc,neutral,2.5,0.0,0,0,0.07621,0.9714,D,False,,
CAND_0092210,J_random,Full Stack Developer,Initech,neutral,5.6,0.0,0,2,0.190825,1.002,C,False,,
CAND_0073860,J_random,Software Engineer,Dunder Mifflin,neutral,4.5,2.0,0,0,0.75428,0.9094,C,False,,
